x;log_branch
1.0E-6;0.7056922190616366
1.0E-4;0.035120621701271414
0.001;-0.6354509756714273
0.01;-1.9765941704175207
0.05;-4.13815585870549
0.1;-6.000023754655848
0.2;-9.46561736463677
0.24170525010063834;-11.001125655092704
0.3333333333333333;-14.818603065135132
0.4165142415584832;-19.108503102790053
0.5;-24.68425213354369
0.9;-173.81200365005583
0.99;-1841.531154101951
1.0;undefined
1.01;1864.1535573081144
1.1;196.44976283244853
2.0;28.77792296118522
3.0;18.912273892776675
5.0;13.559288192278304
10.0;10.093694582297374
100.0;6.070264998059049
112.99821225476838;5.966259985284622
125.0;5.8843196733065355
